_id/$oid,ID,OrgStructureName,Code,CodeBranch,AddressDetail,Phone,TypeID,ParentID,BranchID,OrderNumber,Status,DecisionNo,OrgStructureTypeID,TypeDurationID,SortID,CompanyID,OrgUnitID
5f0578fedc89b71bdcd066ca,c57fd485-b27a-4edf-a3aa-0795c94225a0,Bộ phận Kỹ thuật ,310400,31,,,5a113616-3a42-445c-9142-981362ab5420,958f0f6a-7b71-4183-a4bc-0504a6ce270c,958f0f6a-7b71-4183-a4bc-0504a6ce270c,18,E_APPROVED,PPJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,47,66975682-b725-46e4-ae24-202cc09000fc,419e38e0-c5cb-4e37-9445-deb5b695eaa0
5f0578fedc89b71bdcd066cb,f8c28e87-79c2-4414-aea8-07c0c8593324,Tổ ủi 01,353001,,,,,71f96529-9003-4c89-a2bf-dd13e18e0c24,,1906,E_APPROVED,PPJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,1808,1b441cc4-3fac-4d3c-87a0-4c4f84e40828,c17b7cfb-a85f-4cbe-9ae3-66832897fcb4
5f0578fedc89b71bdcd066cc,31bafa0d-b449-4688-a3dc-07cb29adba27,Chuyền 12,321012,O32,,,271212e8-91f8-4d63-91b8-14df7020e6b9,c2f0c53d-aa4d-41f9-8146-8438e1c2867d,3b5ce8ce-ba06-47d2-b0cd-99473a140888,348,E_APPROVED,PPJ,a5a783d6-f308-40e7-b7d8-48253d97b32a,,48,66975682-b725-46e4-ae24-202cc09000fc,fc302b8c-2fcc-4804-8ebb-79b301c5f92d
5f0578fedc89b71bdcd066cd,247470da-5319-4201-9a99-108e6d7f7103,Bảo vệ,701010,,Cụm Công nghiệp Tam Quan – khối 5 – Thị trấn Tam Quan – Hoài Nhơn – Bình Định,0256.3665456,,5d2c74da-1f86-4404-9ef2-b97ad87872c9,,1587,E_APPROVED,PPJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,1488,5fdc3729-e860-4462-9174-be76f5f30f8d,a3e934f8-a555-4d5f-975d-b4c9b4cf7ef8
5f0578fedc89b71bdcd066ce,34abdff7-a36f-4c1e-b4d0-10b9455641bb,Sửa hàng,802201,,,,,3a6e3940-cc73-4215-8717-b9d1f5df8eb3,,2164,E_APPROVED,PPJ,a5a783d6-f308-40e7-b7d8-48253d97b32a,,2066,9b223e4b-2cd8-40eb-b774-36ba42e24bad,33e7140f-41e0-41ad-980b-3234dd175cf4
5f0578fedc89b71bdcd066cf,a2cf31d2-2fbb-4d76-beea-10baf8255c05,Đóng gói,949002,,,,,682f121d-2eaa-4027-9d05-8fee8d1bd37c,,2027,E_APPROVED,PPJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,1929,5fdc3729-e860-4462-9174-be76f5f30f8d,a9b3ebe6-046b-43dd-b1fe-8824fbd1d44b
5f0578fedc89b71bdcd066d0,7625e00e-9a98-4adb-8f68-10e4b9bb2d1c,BP. Chất lượng,813001,,"18 Tăng Nhơn Phú, Phước Long B, Quận 9, TP.Hồ Chí Minh",,,bdd00f0e-d791-4968-a25c-08ecba236d01,,1715,E_INACTIVE,PPJ,7e7803c5-f795-441d-88f4-cbf7984bd5e0,,1616,42f0601e-d90d-4b56-b1f6-da50e7e3b196,6765fbce-a1fc-4cd3-992b-46e210416071
5f0578fedc89b71bdcd066d1,08ccf213-c4b0-44cf-95d1-10ee509b572f,Tổ chuẩn bị ca B,582403,,,,,7502cd2c-94bb-4914-8110-9b967ff680ef,,1555,E_APPROVED,VTJ,a5a783d6-f308-40e7-b7d8-48253d97b32a,,1456,ac5cf36a-3d11-4433-af52-467998ab730e,7d4566ce-530d-4659-a555-dc130f27da37
5f0578fedc89b71bdcd066d2,91b0f3ad-352c-46cd-8ea4-10f18526c2c5,Bộ phận Hoàn tất,411100,41,,,5a113616-3a42-445c-9142-981362ab5420,d0824479-b6c9-482f-a92f-bbd10885fe16,d0824479-b6c9-482f-a92f-bbd10885fe16,446,E_APPROVED,PPJ,3511c23f-2934-4a19-b08f-76c65fdcc21b,,89,47384908-eb80-40f6-9636-d0e15f006eb4,84c592f1-1320-4710-8c4c-077a7755804f
5f0578fedc89b71bdcd066d3,6159dab9-97b5-496b-a3c1-111fb0609ee9,Bộ phận Nhà ăn,411500,41,,,5a113616-3a42-445c-9142-981362ab5420,d0824479-b6c9-482f-a92f-bbd10885fe16,d0824479-b6c9-482f-a92f-bbd10885fe16,480,E_INACTIVE,PPJ,3511c23f-2934-4a19-b08f-76c65fdcc21b,,90,47384908-eb80-40f6-9636-d0e15f006eb4,3fa52078-0200-4609-aa24-00ee47133de6
