_id/$oid,ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,SortID
5f0578fddc89b71bdcd060b4,ad01e5dd-21c5-4c63-8dc0-9c51c939a72c,60427f87-34f2-47ea-9a78-572c99cc8945,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN DỆT MAY PPJ HUẾ,Nhà máy Dệt thoi,BP. Mổ túi,,,PPG,,FC_HPH,840000,808170,,,3699700
5f0578fddc89b71bdcd060b5,f41666c3-3c88-4377-9ad4-9c67e6c99de9,f9ce4eb3-645d-485d-adae-d34dcdb57f02,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may Jeans Xuất Khẩu,Bộ phận Kỹ thuật chuyền,,,PPG,,PPJ,FC_230000,231600,,,3700632
5f0578fddc89b71bdcd060b6,363319e8-2b54-48c1-bb1d-9c7122cf58e1,cd06b544-b644-457a-9f1f-34bb3e853bdd,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN ĐẦU TƯ THÀNH CHÂU,,CN Ca 1,,,PPG,,TIC,,642012,,,3699434
5f0578fddc89b71bdcd060b7,ca492931-535a-491c-b5b7-9c8f1e6b031f,0b095d67-40b6-4009-b5b2-bad28a2a41fc,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Wash Phong Phú,Bộ phận Quản lý chất lượng ( BP. QC ) ,Sửa hàng,,PPG,,PPJ,FC_280000,281200,281207,,3700455
5f0578fddc89b71bdcd060b8,9836b336-d16a-43f9-a637-9c922bcf411d,88e00e24-48d9-46f2-9753-7419c6366bd0,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,Bộ phận HCNS - Tiền lương,,,PPG,,PPJ,FC_410000,410200,,,3699940
5f0578fddc89b71bdcd060b9,35dbe47d-c3c2-4b47-bcbf-9ca712e10349,fb08c40a-10d2-453c-ae29-aea64c8cdd58,PHONG PHÚ GROUP,,Thêu Phong Phú Thủ Đức,,Bộ phận thêu,,Thêu 1,PPG,,260000,,261000,,261001,3700363
5f0578fddc89b71bdcd060ba,e8671eef-72ed-44b7-9f72-9cd16072c2f2,48e9381d-529a-4449-a2a1-97329b11ebe1,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Văn phòng Chi nhánh Đà Nẵng,Nhà ăn Đà Nẵng B,,PPG,,PPJ,340000,390001,342000,,3700206
5f0578fddc89b71bdcd060bb,8c10c69c-de23-4ae8-8270-9ce460d1e4b0,df020adc-f6fd-4a25-bda7-da65f29bfd68,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 3 (B2),Xưởng Hoàn tất,BP. Cắt chỉ ,PPG,,PPJ,600000,FC_634000,634005,634105,3700689
5f0578fddc89b71bdcd060bc,74cd4e4b-4fba-48ed-a5a1-9cfb583a757a,1dd69b71-bce9-4768-933d-d8743313ec67,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN DỆT MAY PPJ HUẾ,Nhà máy Dệt thoi,Chuyền may,Bộ phận Giao nhận,,PPG,,FC_HPH,840000,808000,808181,,3700675
5f0578fddc89b71bdcd060bd,efc82211-58f5-41e1-8c22-9d15c8c9b0e5,32f4784e-a5ce-4022-8a27-2073104628b8,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Trung tâm R&D,Bộ phận R&D,Wash,Wash 2,PPG,,PPJ,FC_610000,610001,618001,618012,3699277
